paragraph|author
La nouvelle du choix fait par mademoiselle de Cormon atteignit au cœur le pauvre Athanase, mais il ne laissa rien transpirer des horribles agitations auxquelles il fut en proie. Quand il apprit le mariage, il était chez le président du Ronceret où sa mère faisait un boston; madame Granson regarda son fils dans une glace, elle le trouva pâle; mais il l'était depuis le matin, car il avait entendu parler vaguement de ce mariage; mademoiselle Cormon était une carte sur laquelle il jouait sa vie, le froid pressentiment d'une catastrophe l'enveloppait déjà. Lorsque l'âme et l'imagination ont agrandi le malheur, en ont fait un fardeau trop lourd pour les épaules et pour le front; quand une espérance long-temps caressée, dont les réalisations apaiseraient le vautour ardent qui ronge le cœur, vient à manquer, et que l'homme n'a foi ni en lui malgré ses forces, ni en Dieu malgré sa puissance, alors il se brise. Athanase était un fruit de l'éducation impériale. La fatalité, cette religion de l'empereur, descendit du trône jusque dans les derniers rangs de l'armée, jusque sur les bancs du collége. Athanase arrêta ses yeux sur le jeu de madame du Ronceret avec une stupeur qui pouvait si bien passer pour de l'indifférence, que madame Granson crut s'être trompée sur les sentiments de son fils. Cette apparente insouciance expliquait son refus de faire à ce mariage le sacrifice de ses opinions _libérales_, mot qui venait d'être créé pour l'empereur Alexandre, et qui procédait, je crois, de madame de Staël par Benjamin Constant. A compter de cette fatale soirée, Athanase alla se promener à l'endroit le plus pittoresque de la Sarthe, sur une rive d'où les dessinateurs qui se sont occupés d'Alençon se sont placés pour y prendre des points de vue. Il s'y trouve des moulins. La rivière égaie les prairies. Les bords de la Sarthe sont garnis d'arbres élégants de forme et bien jetés. Si le paysage est plat, il ne manque pas des grâces décentes qui distinguent la France où les yeux ne sont jamais ni fatigués par un jour oriental, ni attristés par de trop constantes brumes. Ce lieu était solitaire. En province, personne ne fait attention à une jolie vue, soit que chacun soit blasé, soit défaut de poésie dans l'âme. S'il existe en province un mail, un plan, une promenade d'où se découvre une riche perspective, c'est l'endroit où personne ne va. Athanase affectionna cette solitude animée par l'eau, où les prés reverdissaient sous les premiers sourires du soleil printanier. Ceux qui l'y voyaient assis sous un peuplier, et qui recevaient son regard profond, dirent parfois à madame Granson:--Votre fils a quelque chose.|Balzac
Je me dressai sur mes jambes comme un cheval effrayé. Quoique ce mouvement n'échappât ni à monsieur de Chessel ni à la comtesse, il ne me valut aucune observation muette, car il y eut une diversion faite par une jeune fille à qui je donnai six ans, et qui entra disant:--Voilà mon père.|Balzac
Sa pureté m'arracha une larme d'admiration que l'égoïsme de la passion rendit bien amère. En faisant un retour sur moi, je songeai qu'elle ne m'aimait pas assez pour souhaiter sa liberté. Tant que l'amour recule devant un crime, il nous semble avoir des bornes, et l'amour doit être infini. J'eus une horrible contraction de cœur.|Balzac
Le vieillard se balançait d'un air fat comme s'il avait eu la marquise de Spinola, et comme s'il possédait la duchesse moderne. Quand les deux affligés furent seuls, assis sur le même banc, réunis dans une même pensée, ils se dirent pendant long-temps l'un à l'autre des paroles vagues, insignifiantes, en regardant ce père heureux qui s'en allait en gesticulant comme s'il se parlait à lui-même.|Balzac
«Quand toute ma force enveloppait mes enfants, m'écrivait-elle, pouvais-je l'employer contre monsieur de Mortsauf et pouvais-je me défendre de ses agressions en me défendant contre la mort? En marchant aujourd'hui, seule et affaiblie, entre les deux jeunes mélancolies qui m'accompagnent, je suis atteinte par un invincible dégoût de la vie. Quel coup puis-je sentir, à quelle affection puis-je répondre, quand je vois sur la terrasse Jacques immobile dont la vie ne m'est plus attestée que par ses deux beaux yeux agrandis de maigreur, caves comme ceux d'un vieillard, et dont, fatal pronostic! l'intelligence avancée contraste avec sa débilité corporelle? Quand je vois à mes côtés cette jolie Madeleine, si vive, si caressante, si colorée, maintenant blanche comme une morte, ses cheveux et ses yeux me semblent avoir pâli, elle tourne sur moi des regards languissants comme si elle voulait me faire ses adieux; aucun mets ne la tente, ou si elle désire quelque nourriture, elle m'effraie par l'étrangeté de ses goûts; la candide créature, quoique élevée dans mon cœur, rougit en me les confiant. Malgré mes efforts, je ne puis amuser mes enfants; chacun d'eux me sourit, mais ce sourire leur est arraché par mes coquetteries, et ne vient pas d'eux; ils pleurent de ne pouvoir répondre à mes caresses. La souffrance a tout détendu dans leur âme, même les liens qui nous attachent. Ainsi vous comprenez combien Clochegourde est triste: monsieur de Mortsauf y règne sans obstacle. O mon ami, vous ma gloire! m'écrivait-elle plus loin, vous devez bien m'aimer pour m'aimer encore, pour m'aimer inerte, ingrate, et pétrifiée par la douleur.»|Balzac
Dans son trouble, Victurnien saisit cette branche offerte à portée de sa main, au sein de ce naufrage; il courut à cet hôtel, y trouva, y embrassa sa tante qui pleurait comme une Madeleine: on eût dit la complice des fautes de son neveu. Tous deux montèrent en voiture, et quelques instants après ils se trouvèrent hors Paris, sur la route de Brest. Victurnien anéanti demeurait dans un profond silence. Quand la tante et le neveu se parlèrent, ils furent l'un et l'autre victimes du fatal quiproquo qui avait jeté sans réflexion Victurnien dans les bras de mademoiselle Armande: le neveu pensait à son faux, la tante pensait aux dettes et aux lettres de change.|Balzac
Mademoiselle Armande, sèche et maigre, pâle, mais belle comme une de ces figures effilées et sévères que les peintres allemands ont seuls su faire, eut aussi les yeux mouillés.|Balzac
--Nous vous ferons faire votre salut par là et votre enfer par ici, me dit-il en montrant le trictrac.|Balzac
En effet, annoncé par tant de cancans, un certain cabriolet de poste où se trouvait un monsieur seul avait fait une si grande sensation en descendant la rue Saint-Blaise et tournant la rue du Cours, que quelques petits gamins et de grandes personnes l'avaient suivi, et restaient groupés autour de la porte de l'hôtel Cormon pour le voir entrer. Jacquelin, qui flairait aussi son propre mariage, avait entendu le clic-clac dans la rue Saint-Blaise, il avait ouvert la grand'porte à deux battants. Le postillon, qui était de sa connaissance, mit sa gloire à bien tourner, et arrêta net au perron. Quant au postillon, vous comprenez qu'il s'en alla bien et dûment grisé par Jacquelin. L'abbé vint au-devant de son hôte dont la voiture fut dépouillée avec la prestesse qu'auraient pu y mettre des voleurs pressés. Elle fut remisée, la grand'porte fut fermée, et il n'y eut plus de traces de l'arrivée de monsieur de Troisville en quelques minutes. Jamais deux substances chimiques ne se marièrent avec plus de promptitude que la maison Cormon n'en mit à absorber le vicomte de Troisville. Mademoiselle, de qui le cœur battait comme à un lézard pris par un pâtre, resta héroïquement dans sa bergère, au coin du feu. Josette ouvrit la porte, et le vicomte de Troisville suivi de l'abbé de Sponde se produisit aux regards de la vieille fille.|Balzac
Elle me demanda des nouvelles de son père; puis elle devina ma fatigue, et alla s'occuper de mon gîte; tandis que le comte me faisait donner à manger, car je mourais de faim. Ma chambre fut celle qui se trouvait au-dessus de la sienne, celle de sa tante; elle m'y fit conduire par le comte, après avoir mis le pied sur la première marche de l'escalier en délibérant sans doute avec elle-même si elle m'y accompagnerait; je me retournai, elle rougit, me souhaita un bon sommeil, et se retira précipitamment. Quand je descendis pour dîner, j'appris les désastres de Waterloo, la fuite de Napoléon, la marche des alliés sur Paris et le retour probable des Bourbons. Ces événements étaient tout pour le comte, ils ne furent rien pour nous. Savez-vous la plus grande nouvelle, après les enfants caressés, car je ne vous parle pas de mes alarmes en voyant la comtesse pâle et maigrie; je connaissais le ravage que pouvait faire un geste d'étonnement, et n'exprimai que du plaisir en la voyant. La grande nouvelle pour nous fut: «--Vous aurez de la glace!» Elle s'était souvent dépitée l'année dernière de ne pas avoir d'eau assez fraîche pour moi qui, n'ayant pas d'autre boisson, l'aimais glacée. Dieu sait au prix de combien d'importunités elle avait fait construire une glacière! Vous savez mieux que personne qu'il suffit à l'amour, d'un mot, d'un regard, d'une inflexion de voix, d'une attention légère en apparence; son plus beau privilége est de se prouver par lui-même. Hé! bien, son mot, son regard, son plaisir me révélèrent l'étendue de ses sentiments, comme je lui avais naguère dit tous les miens par ma conduite au trictrac. Mais les naïfs témoignages de sa tendresse abondèrent: le septième jour après mon arrivée, elle redevint fraîche; elle pétilla de santé, de joie et de jeunesse; je retrouvai mon cher lys embelli, mieux épanoui, de même que je trouvai mes trésors de cœur augmentés. N'est-ce pas seulement chez les petits esprits, ou dans les cœurs vulgaires, que l'absence amoindrit les sentiments, efface les traits de l'âme et diminue les beautés de la personne aimée? Pour les imaginations ardentes, pour les êtres chez lesquels l'enthousiasme passe dans le sang, le teint d'une pourpre nouvelle, et chez qui la passion prend les formes de la constance, l'absence n'a-t-elle pas l'effet des supplices qui raffermissaient la foi des premiers chrétiens, et leur rendaient Dieu visible? N'existe-t-il pas chez un cœur rempli d'amour des souhaits incessants qui donnent plus de prix aux formes désirées en les faisant entrevoir colorées par le feu des rêves? n'éprouve-t-on pas des irritations qui communiquent le beau de l'idéal aux traits adorés en les chargeant de pensées? Le passé, repris souvenir à souvenir, s'agrandit; l'avenir se meuble d'espérances. Entre deux cœurs où surabondent ces nuages électriques, une première entrevue devint alors comme un bienfaisant orage qui ravive la terre et la féconde en y portant les subites lumières de la foudre. Combien de plaisirs suaves ne goûtai-je pas en voyant que chez nous ces pensers, ces ressentiments étaient réciproques? De quel œil charmé je suivis les progrès du bonheur chez Henriette! Une femme qui revit sous les regards de l'aimé donne peut-être une plus grande preuve de sentiment que celle qui meurt tuée par un doute, ou séchée sur sa tige, faute de sève; je ne sais qui des deux est la plus touchante. La renaissance de madame de Mortsauf fut naturelle, comme les effets du mois de mai sur les prairies, comme ceux du soleil et de l'onde sur les fleurs abattues. Comme notre vallée d'amour, Henriette avait eu son hiver, elle renaissait comme elle au printemps. Avant le dîner, nous descendîmes sur notre chère terrasse. Là, tout en caressant la tête de son pauvre enfant, devenu plus débile que je ne l'avais vu, qui marchait aux flancs de sa mère, silencieux comme s'il couvait encore une maladie, elle me raconta ses nuits passées au chevet du malade.--Durant ces trois mois, elle avait, disait-elle, vécu d'une vie tout intérieure; elle avait habité comme un palais sombre en craignant d'entrer en de somptueux appartements où brillaient des lumières, où se donnaient des fêtes à elle interdites, et à la porte desquels elle se tenait, un œil à son enfant, l'autre sur une figure indistincte, une oreille pour écouter les douleurs, une autre pour entendre une voix. Elle disait des poésies suggérées par la solitude, comme aucun poète n'en a jamais inventé; mais tout cela naïvement, sans savoir qu'il y eût le moindre vestige d'amour, ni trace de voluptueuse pensée, ni poésie orientalement suave, comme une rose du Frangistan. Quand le comte nous rejoignit, elle continua du même ton, en femme fière d'elle-même, qui peut jeter un regard d'orgueil à son mari, et mettre sans rougir un baiser sur le front de son fils. Elle avait beaucoup prié, elle avait tenu Jacques pendant des nuits entières sous ses mains jointes, ne voulant pas qu'il mourût.|Balzac
--La Justice s'éclaire, dit le juge en le renvoyant non sans avoir constaté cette dernière observation de du Croisier.|Balzac
